"","gene_symbol"
"1109","ANKRD22"
"1110","ANKRD30A"
"1111","ANKRD32"
"1112","ANKRD33"
"1113","ANKRD42"
"1114","ANKRD45"
"1115","ANKRD49"
"1116","ANKRD53"
"1117","ANKRD54"
"1118","ANKRD55"
"1119","ANKRD6"
"1120","ANKRD7"
"1121","ANKRA2"
"1122","ANHX"
"1123","APEX2"
"1124","APOL2"
"1125","AATF"
"1126","APTX"
"1127","AGAP3"
"1128","ARGFX"
"1129","RERE"
"1130","ARIH2"
"1131","ARRB1"
"1132","AIP"
"1133","AHRR"
"1134","ASF1A"
"1135","ASH1L"
"1136","ASH2L"
"1137","AHCTF1"
"1138","AHCTF1P1"
"1139","AHDC1"
"1140","ARID1A"
"1141","ARID1B"
"1142","ARID2"
"1143","ARID4A"
"1144","ARID4B"
"1145","ATR"
"1146","ATM"
"1147","ATXN1"
"1148","ATXN2"
"1149","ATXN7"
"1150","ATXN7L2"
"1151","ATMIN"
"1152","ATOH8"
"1153","ABCA11P"
"1154","ABCA4"
"1155","ATN1"
"1156","ATG4B"
"1157","BDP1"
"1158","BAGE2"
"1159","BZW1"
"1160","BZW2"
"1161","BLZF1"
"1162","BATF2"
"1163","BTF3"
"1164","BTF3P11"
"1165","BTF3P12"
"1166","BTF3P13"
"1167","BCL2"
"1168","BCL3"
"1169","BTG1"
"1170","BAG1"
"1171","BCOR"
"1172","BLOC1S1"
"1173","BOD1L1"
"1174","BLM"
"1175","BMI1"
"1176","BOLA1"
"1177","BOLA2"
"1178","BOLA2B"
"1179","BOLA3"
"1180","BMP2"
"1181","BMP4"
"1182","BMP5"
"1183","BMP7"
"1184","BMYC"
"1185","BEX1"
"1186","BARD1"
"1187","BRCA2"
"1188","BRF1"
"1189","BRF2"
"1190","BIN1"
"1191","BAZ1A"
"1192","BAZ1B"
"1193","BAZ2A"
"1194","BAZ2B"
"1195","BRPF1"
"1196","BRPF3"
"1197","BRWD1"
"1198","BRD1"
"1199","BRD2"
"1200","BRD3"
"1201","BRD4"
"1202","BRD7"
"1203","BRD8"
"1204","BRD9"
"1205","BPTF"
"1206","BRDT"
"1207","BTAF1"
"1208","BTBD1"
"1209","BTBD2"
"1210","BTBD6"
"1211","BANP"
"1212","BUD31"
"1213","C1D"
"1214","ABL1"
"1215","CALCOCO1"
"1216","CARHSP1"
"1217","CASK"
"1218","CAMTA2"
"1219","CALR"
"1220","CNPY3"
"1221","CASP8AP2"
"1222","CECR6"
"1223","CTNNB1"
"1224","CTNND1"
"1225","CTNNBIP1"
"1226","CBL"
"1227","CBLL1"
