"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"FLOT1",2.43119857118753e-11,0.253490987674226,0.522,0.484,5.38024243803801e-07,"10-N_Glut","FLOT1"
"ZC3H8",2.54485484137547e-11,0.346274773478409,0.272,0.213,5.63176376396393e-07,"10-N_Glut","ZC3H8"
"MAX",2.58378649130494e-11,0.30454680125757,0.361,0.311,5.71791950525783e-07,"10-N_Glut","MAX"
"JKAMP",2.69284339334482e-11,0.317168784052556,0.371,0.315,5.95926242947209e-07,"10-N_Glut","JKAMP"
"ANKRA2",3.25123484597747e-11,0.324920223500538,0.285,0.225,7.19498271414815e-07,"10-N_Glut","ANKRA2"
"ZNF791",3.47689306156879e-11,0.311280762716509,0.356,0.298,7.69436434525173e-07,"10-N_Glut","ZNF791"
"KIAA2026",3.55566787768442e-11,0.311021183419123,0.285,0.226,7.86869301331563e-07,"10-N_Glut","KIAA2026"
"ATXN3",3.61459604601455e-11,0.329103551399898,0.296,0.239,7.99910104983019e-07,"10-N_Glut","ATXN3"
"ATAD1",4.0177925265459e-11,0.304667209623307,0.307,0.247,8.89137486124608e-07,"10-N_Glut","ATAD1"
"PRDX1",4.07033512972332e-11,0.320427807601433,0.806,0.846,9.00765164207771e-07,"10-N_Glut","PRDX1"
"OS9",4.34809460692513e-11,0.288241726386627,0.346,0.286,9.62233336512531e-07,"10-N_Glut","OS9"
"IFT20",4.68302652608379e-11,0.252275956131319,0.505,0.468,1.03635377022234e-06,"10-N_Glut","IFT20"
"SCARB2",4.83521214906067e-11,0.287119830422954,0.396,0.338,1.07003244858713e-06,"10-N_Glut","SCARB2"
"ARHGEF2",6.15983548886416e-11,0.334656074894315,0.258,0.199,1.36317159368564e-06,"10-N_Glut","ARHGEF2"
"ZMAT2",7.04496069702116e-11,0.27245113961006,0.523,0.508,1.55904980225078e-06,"10-N_Glut","ZMAT2"
"CEP19",7.86800569511993e-11,0.370972227077366,0.257,0.201,1.74118966033004e-06,"10-N_Glut","CEP19"
"RAB40B",8.49518732386956e-11,0.270647781371756,0.298,0.234,1.87998495477233e-06,"10-N_Glut","RAB40B"
"DYRK1B",1.02697873818459e-10,0.295433259896064,0.299,0.24,2.2727039476025e-06,"10-N_Glut","DYRK1B"
"DIXDC1",1.13502027799841e-10,0.308435021465163,0.309,0.25,2.51179987521049e-06,"10-N_Glut","DIXDC1"
"FRMD4A1",1.1893110918944e-10,0.251375923645525,0.351,0.285,2.63194544636231e-06,"10-N_Glut","FRMD4A"
"TAF11",1.40368997155587e-10,0.250848149664826,0.489,0.455,3.10636590705315e-06,"10-N_Glut","TAF11"
"BCL2L1",1.49574452987861e-10,0.314500271175207,0.325,0.268,3.31008264462136e-06,"10-N_Glut","BCL2L1"
"PPP3CB",1.50343026567013e-10,0.290738588493095,0.302,0.243,3.32709117792801e-06,"10-N_Glut","PPP3CB"
"KIAA0232",1.52006178474629e-10,0.32150522366914,0.299,0.241,3.36389672964354e-06,"10-N_Glut","KIAA0232"
"CLDND1",1.70881764730748e-10,0.269290454967601,0.45,0.407,3.78161345349146e-06,"10-N_Glut","CLDND1"
"TMEM132A",1.74937137548624e-10,0.295507970169531,0.278,0.219,3.87135885395104e-06,"10-N_Glut","TMEM132A"
"CDC42EP3",1.87778216780507e-10,0.253392207832209,0.31,0.245,4.15553193735262e-06,"10-N_Glut","CDC42EP3"
"SRGAP1",2.0929610333932e-10,0.260092358491537,0.336,0.27,4.63172276689916e-06,"10-N_Glut","SRGAP1"
"ZNF562",2.48635547224803e-10,0.3117029997734,0.298,0.241,5.50230466008489e-06,"10-N_Glut","ZNF562"
"SRD5A1",3.45366884750871e-10,0.321389448366348,0.259,0.204,7.64296915953677e-06,"10-N_Glut","SRD5A1"
"CSNK2A1",4.11431610996965e-10,0.253321651617558,0.561,0.549,9.10498155136283e-06,"10-N_Glut","CSNK2A1"
"DCTN5",5.14360789872484e-10,0.310894804861197,0.349,0.303,1.13828042798781e-05,"10-N_Glut","DCTN5"
"RFK",5.23312365039171e-10,0.289828430817157,0.33,0.276,1.15809026383169e-05,"10-N_Glut","RFK"
"IFRD1",5.24820973645716e-10,0.25383735206016,0.487,0.456,1.16142881467797e-05,"10-N_Glut","IFRD1"
"KMT2C",5.25300948037657e-10,0.305890172790425,0.294,0.238,1.16249099800733e-05,"10-N_Glut","KMT2C"
"HIC2",6.00055716929583e-10,0.307167614475595,0.284,0.228,1.32792330156517e-05,"10-N_Glut","HIC2"
"PRDM2",6.86550391615639e-10,0.321143173241383,0.287,0.235,1.51933601664541e-05,"10-N_Glut","PRDM2"
"CXCR4",7.39379469178195e-10,0.295599666225647,0.283,0.226,1.63624676529135e-05,"10-N_Glut","CXCR4"
