"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITGA6",2.16816851379236e-90,0.435460314549507,0.275,0.16,4.7981569210225e-86,"0-P_MesenFP_LMX1A_Early","ITGA6"
"ADSS",3.92167424018411e-89,0.408313384870543,0.454,0.343,8.67866509352743e-85,"0-P_MesenFP_LMX1A_Early","ADSS"
"DUSP6",4.75980386011418e-89,0.425615069893129,0.385,0.262,1.05334459424327e-84,"0-P_MesenFP_LMX1A_Early","DUSP6"
"LMO3",2.67392736343759e-88,0.405622510765951,0.416,0.294,5.91740125528739e-84,"0-P_MesenFP_LMX1A_Early","LMO3"
"DAP",2.02008331801088e-87,0.371432431321935,0.595,0.521,4.47044438275809e-83,"0-P_MesenFP_LMX1A_Early","DAP"
"PPIB",3.09448157260564e-87,0.264546903917675,0.801,0.763,6.84808772017628e-83,"0-P_MesenFP_LMX1A_Early","PPIB"
"GNAI1",1.93763832570275e-85,0.394829279474826,0.278,0.164,4.28799361478018e-81,"0-P_MesenFP_LMX1A_Early","GNAI1"
"ETV5",4.76193941408215e-85,0.433805599634806,0.305,0.193,1.05381719233638e-80,"0-P_MesenFP_LMX1A_Early","ETV5"
"KIF21A",6.23917878681615e-85,0.302068351005297,0.699,0.645,1.38073026552241e-80,"0-P_MesenFP_LMX1A_Early","KIF21A"
"AP5M1",7.815639305586e-85,0.462929753542592,0.42,0.311,1.72960097832618e-80,"0-P_MesenFP_LMX1A_Early","AP5M1"
"ADAMTS12",8.3085105438986e-84,0.431621911717037,0.304,0.19,1.83867338336476e-79,"0-P_MesenFP_LMX1A_Early","ADAMTS12"
"UBXN11",1.13434390009779e-82,0.384098110837701,0.358,0.239,2.51030305091642e-78,"0-P_MesenFP_LMX1A_Early","UBXN11"
"C9orf116",2.81705594539488e-82,0.380162355165875,0.481,0.369,6.23414480715888e-78,"0-P_MesenFP_LMX1A_Early","C9orf116"
"IFT22",8.34741325353243e-82,0.308273147909679,0.679,0.623,1.84728255300673e-77,"0-P_MesenFP_LMX1A_Early","IFT22"
"RAB4A",3.3760528798633e-80,0.28075933657464,0.737,0.699,7.47120502313749e-76,"0-P_MesenFP_LMX1A_Early","RAB4A"
"MAZ",3.74345853094163e-80,0.370025092299274,0.56,0.491,8.28427372897382e-76,"0-P_MesenFP_LMX1A_Early","MAZ"
"FAM84B",4.25222357898287e-80,0.398709687018358,0.253,0.145,9.4101707802891e-76,"0-P_MesenFP_LMX1A_Early","FAM84B"
"NR2F2",2.20963243614813e-79,0.351288416560052,0.52,0.415,4.88991658119581e-75,"0-P_MesenFP_LMX1A_Early","NR2F2"
"MLLT3",4.38429683459796e-78,0.346161230930143,0.452,0.334,9.70244889496529e-74,"0-P_MesenFP_LMX1A_Early","MLLT3"
"ZFYVE16",1.85783247275281e-77,0.40440179316556,0.375,0.265,4.11138326220197e-73,"0-P_MesenFP_LMX1A_Early","ZFYVE16"
"CLIC4",2.18622302274205e-77,0.420762046013,0.453,0.358,4.83811154932815e-73,"0-P_MesenFP_LMX1A_Early","CLIC4"
"PXDN",2.40022369098822e-77,0.378922756615758,0.523,0.437,5.31169502815693e-73,"0-P_MesenFP_LMX1A_Early","PXDN"
"FNDC3B",5.10072993227714e-76,0.38128527551771,0.306,0.197,1.12879153401293e-71,"0-P_MesenFP_LMX1A_Early","FNDC3B"
"AC240274.1",1.42002426013202e-74,0.425374750059865,0.259,0.157,3.14251368767216e-70,"0-P_MesenFP_LMX1A_Early","AC240274.1"
"RMI2",5.49549907776718e-74,0.403950272574888,0.516,0.422,1.21615394590988e-69,"0-P_MesenFP_LMX1A_Early","RMI2"
"SESN3",2.56767178201643e-73,0.386796017922467,0.48,0.389,5.68225765360236e-69,"0-P_MesenFP_LMX1A_Early","SESN3"
"DLG5",4.87290404003999e-73,0.381699922858081,0.31,0.203,1.07837366406085e-68,"0-P_MesenFP_LMX1A_Early","DLG5"
"WDFY2",1.6510702651361e-72,0.394738464987293,0.389,0.285,3.65381849674618e-68,"0-P_MesenFP_LMX1A_Early","WDFY2"
"PDK1",6.65969220375869e-72,0.395427045199688,0.259,0.156,1.4737898846918e-67,"0-P_MesenFP_LMX1A_Early","PDK1"
"CNPY1",6.08331275367927e-71,0.434610129233335,0.262,0.158,1.34623711238922e-66,"0-P_MesenFP_LMX1A_Early","CNPY1"
"MLF1",1.42437569105705e-70,0.322188498767309,0.583,0.5,3.15214340430925e-66,"0-P_MesenFP_LMX1A_Early","MLF1"
"PLOD2",5.56197745932643e-70,0.334896892052025,0.288,0.178,1.23086561174894e-65,"0-P_MesenFP_LMX1A_Early","PLOD2"
"PRKAR1A",9.40047784651371e-70,0.342049694270272,0.515,0.427,2.08032574743348e-65,"0-P_MesenFP_LMX1A_Early","PRKAR1A"
"SDC2",2.60008102139456e-69,0.257531512087359,0.703,0.632,5.75397930034616e-65,"0-P_MesenFP_LMX1A_Early","SDC2"
"MID1",3.2813573500582e-66,0.272063159071169,0.644,0.575,7.26164381567879e-62,"0-P_MesenFP_LMX1A_Early","MID1"
"CTXN1",3.5022587473883e-66,0.258809572243637,0.705,0.672,7.75049860797031e-62,"0-P_MesenFP_LMX1A_Early","CTXN1"
"KIF9",5.44283980440623e-65,0.348059243286174,0.46,0.36,1.2045004487151e-60,"0-P_MesenFP_LMX1A_Early","KIF9"
"JARID2",1.07066207601447e-64,0.364120725129512,0.481,0.392,2.36937517422002e-60,"0-P_MesenFP_LMX1A_Early","JARID2"
"NT5DC2",5.63558042419407e-64,0.333570582267105,0.555,0.496,1.24715394787415e-59,"0-P_MesenFP_LMX1A_Early","NT5DC2"
"EIF4EBP2",9.54594162956685e-64,0.283042494239709,0.639,0.597,2.11251688262314e-59,"0-P_MesenFP_LMX1A_Early","EIF4EBP2"
"TSPAN6",3.6413348380438e-63,0.300792820057806,0.628,0.57,8.05827399659094e-59,"0-P_MesenFP_LMX1A_Early","TSPAN6"
"SEPHS1",1.6640680006974e-62,0.374616857590221,0.383,0.291,3.68258248554335e-58,"0-P_MesenFP_LMX1A_Early","SEPHS1"
"CASD1",3.23524765960646e-60,0.353217784439798,0.308,0.211,7.1596030707091e-56,"0-P_MesenFP_LMX1A_Early","CASD1"
"RHBDD2",3.47697489969227e-60,0.277744776268102,0.652,0.605,7.69454545301898e-56,"0-P_MesenFP_LMX1A_Early","RHBDD2"
"DPCD",5.20243877157237e-59,0.318702456706986,0.562,0.494,1.15129970014897e-54,"0-P_MesenFP_LMX1A_Early","DPCD"
"RHOH",2.06719486717404e-58,0.322950885265177,0.269,0.173,4.57470224105615e-54,"0-P_MesenFP_LMX1A_Early","RHOH"
"IRF2BPL",2.3443778305285e-57,0.335206842274472,0.334,0.235,5.18810813895957e-53,"0-P_MesenFP_LMX1A_Early","IRF2BPL"
"WDR34",1.09999557648788e-56,0.3367053142487,0.501,0.436,2.43429021076767e-52,"0-P_MesenFP_LMX1A_Early","WDR34"
"CRISPLD1",3.9202315979778e-56,0.377267197478294,0.33,0.24,8.67547252632487e-52,"0-P_MesenFP_LMX1A_Early","CRISPLD1"
"FGFR1",1.09586875108058e-55,0.260256609604679,0.673,0.614,2.42515754614132e-51,"0-P_MesenFP_LMX1A_Early","FGFR1"
"NCOA4",6.81464605095017e-55,0.347612346904915,0.43,0.348,1.50808117107527e-50,"0-P_MesenFP_LMX1A_Early","NCOA4"
"RALGPS2",1.2825521758007e-54,0.314477910712187,0.424,0.333,2.83828796504695e-50,"0-P_MesenFP_LMX1A_Early","RALGPS2"
"FOXP4",1.43697561542891e-54,0.320482675856002,0.367,0.275,3.18002703694417e-50,"0-P_MesenFP_LMX1A_Early","FOXP4"
"TOX3",1.95181443501184e-54,0.314457266723897,0.389,0.294,4.31936534468119e-50,"0-P_MesenFP_LMX1A_Early","TOX3"
"PCDH18",1.07494404018917e-53,0.339273584957697,0.353,0.262,2.37885116093863e-49,"0-P_MesenFP_LMX1A_Early","PCDH18"
"WFIKKN1",7.66434827061403e-52,0.304745687836592,0.379,0.289,1.69612027228689e-47,"0-P_MesenFP_LMX1A_Early","WFIKKN1"
"FAM3C",7.02772034001454e-51,0.28870048297326,0.514,0.444,1.55523451124522e-46,"0-P_MesenFP_LMX1A_Early","FAM3C"
"ANTXR1",7.8021131084435e-49,0.330895379561251,0.295,0.211,1.72660763089855e-44,"0-P_MesenFP_LMX1A_Early","ANTXR1"
"MXI1",5.83764560786586e-48,0.284646982962208,0.417,0.327,1.29187097302071e-43,"0-P_MesenFP_LMX1A_Early","MXI1"
"DDX3X",3.07126923819792e-47,0.297658346181047,0.537,0.488,6.796718824132e-43,"0-P_MesenFP_LMX1A_Early","DDX3X"
"NKD1",6.23544404941707e-47,0.291990424370664,0.258,0.174,1.379903768136e-42,"0-P_MesenFP_LMX1A_Early","NKD1"
"NOTCH2",2.67436936677003e-46,0.323341179607087,0.255,0.176,5.91837940866207e-42,"0-P_MesenFP_LMX1A_Early","NOTCH2"
"TGFBR1",9.25485199721157e-46,0.304311599707761,0.435,0.361,2.04809874698292e-41,"0-P_MesenFP_LMX1A_Early","TGFBR1"
"TSPAN4",9.5679312942511e-46,0.320619776779167,0.326,0.247,2.11738319541777e-41,"0-P_MesenFP_LMX1A_Early","TSPAN4"
"MOB1A",1.09769448750101e-45,0.328026736291161,0.408,0.34,2.42919790083974e-41,"0-P_MesenFP_LMX1A_Early","MOB1A"
"GULP1",1.63245653544706e-45,0.312538489526695,0.36,0.28,3.61262631294435e-41,"0-P_MesenFP_LMX1A_Early","GULP1"
"MAP2K2",5.63920129242917e-45,0.340527319070784,0.362,0.288,1.24795524601458e-40,"0-P_MesenFP_LMX1A_Early","MAP2K2"
"TMEM178A",1.37438841008103e-44,0.274799313840617,0.252,0.168,3.04152155150931e-40,"0-P_MesenFP_LMX1A_Early","TMEM178A"
"MMP2",2.49142093393277e-44,0.346982119787735,0.338,0.264,5.51351452679322e-40,"0-P_MesenFP_LMX1A_Early","MMP2"
"PDIA4",1.75026877436304e-43,0.284705227008761,0.451,0.383,3.87334479766541e-39,"0-P_MesenFP_LMX1A_Early","PDIA4"
"TWSG1",2.13825596148532e-43,0.332914346827451,0.314,0.239,4.73196044276701e-39,"0-P_MesenFP_LMX1A_Early","TWSG1"
"SPATA33",3.11436378359735e-43,0.268054386938221,0.52,0.462,6.89208705310094e-39,"0-P_MesenFP_LMX1A_Early","SPATA33"
"TCF4",3.23194120273756e-43,0.296218411757234,0.517,0.469,7.15228588165823e-39,"0-P_MesenFP_LMX1A_Early","TCF4"
